Part of Speech,Latin Vocab Entry,English Definition,Chapter
Adjective,"alter, altera, alterum","the one, the other (of two); next, second",11
Adjective,"neuter, neutra, neutrum",neither (of two),11
Adjective,"nullus, nulla, nullum","not any, no",11
Adjective,"secundus, secunda, secundum",second; favorable,11
Adjective,"solus, sola, solum","alone, only",11
Adjective,non solum … sed etiam,not only … but also,11
Adjective,"totus, tota, totum","whole, entire",11
Adjective,"ullus, ulla, ullum",any,11
Adjective,"unus, una, unum",one,11
Adjective,"uter, utra, utrum",which? (of two),11
Adverb,etiam,also; even,11
Adverb,iam,now; already,11
Adverb,sic,"thus, so",11
Adverb,subito,suddenly,12
Noun,"arbor, arboris f.",tree,12
Noun,"flumen, fluminis n.",river,12
Noun,"*gens, gentis f.","clan, tribe, family; nation; people",12
Noun,"iter, itineris n.","journey, path, route; a day's march",12
Noun,"pes, pedis m.",foot,12
Verb,"absum, abesse, afui, afuturus","to be absent, away, distant",12
Verb,"gero, gerere, gessi, gestus","to bear, carry on; wear",12
Verb,bellum gero,to wage war,12
Adjective,"amicus, amica, amicum",friendly (to),12
Adjective,"aptus, apta, aptum","fit, suitable (for)",12
Adjective,"carus, cara, carum",dear (to),12
Adjective,"fidelis, fidele","faithful, loyal (to)",12
Adjective,"inimicus, inimica, inimicum","unfriendly, hostile (to)",12
Adjective,"par, paris",equal (to),12
Adjective,"similis, simile","similar (to), like",12
Adverb,forte,by chance,12
Coordinating Conjunction,itaque,"and so, therefore",12
Subordinating Conjunction,antequam,before,12
Subordinating Conjunction,cum,when,12
Subordinating Conjunction,dum,"while, as long as",12
Subordinating Conjunction,postquam,after; when,12
Subordinating Conjunction,quia,because,12
Subordinating Conjunction,quod,because; since,12
Subordinating Conjunction,si,if,12
Subordinating Conjunction,ubi,when; where,12
Noun,"epistula, epistulae f.",letter,13
Noun,"*finis, finis m.","end; border; (pl.) boundary, territory",13
Noun,"*mons, montis m.",mountain,13
Noun,"*navis, navis f.",ship,13
Noun,"Roma, Romae f.",Rome,13
Noun,"uxor, uxoris f.",wife,13
Verb,"accipio, accipere, accepi, acceptus",to receive,13
Verb,"curro, currere, cucurri, cursurus",to run,13
Verb,"concurro, concurrere, concucurri, concursurus","to charge, rush together, clash",13
Verb,"disco, discere, didici",to learn,13
Verb,"incolo, incolere, incolui","to inhabit, to live in",13
Verb,"invenio, invenire, inveni, inventus","to find; discover, invent",13
Verb,"pono, ponere, posui, positus","to put, place",13
Verb,"specto, spectare, spectavi, spectatus","to watch, look at",13
Verb,"verto, vertere, verti, versus","to turn, turn around; destroy; change",13
Verb,"vinco, vincere, vici, victus",to conquer; win,13
Adjective,"fessus, fessa, fessum",tired,13
Adjective,"medius, media, medium","middle; middle of (medium mare = ""the middle of the sea"")",13
Adjective,"pauci, paucae, pauca (pl.)",few,13
Adjective,"reliquus, reliqua, reliquum","remaining, rest (of)",13
Adverb,hodie,today,13
Adverb,ita,"thus, so, in this way",13
Pronoun,"qui, quae, quod","who, which, that *also a subordinating conjunction",13
Pronoun,"sui, sibi, se","himself, herself, itself, themselves",13
Coordinating Conjunction,nam (sometimes used as a particle),"fore (= because); indeed, truly",13
Noun,"genus, generis n.","birth, origin; kind; race",14
Noun,"honor, honoris m.","honor, respect; public office",14
Noun,"*hostis, hostis m. (usually in pl.)",enemy (n.b. hostis is an enemy of the state; inimicus is your enemy),14
Noun,"iudicium, iudicii n.",court; trial; judgment,14
Noun,"legatus, legati m.","delegate, envoy, ambassador; legion commander",14
Noun,"litus, litoris n.","shore, beach, coast",14
Noun,"nubes, nubis f.",cloud,14
Noun,"ops, opis f.","power, help; (pl.) wealth, resources",14
Noun,"Troia, Troiae f.",Troy,14
Noun,"unda, undae f.","waves, waters; sea",14
Verb,"amitto, amittere, amisi, amissus",to lose,14
Verb,"constituo, constituere, constitui, constitutus","to decide, appoint, establish",14
Verb,"rapio, rapere, rapui, raptus","to seize, snatch, carry off",14
Verb,"sto, stare, steti, staturus",to stand,14
Verb,"surgo, surgere, surrexi, surrectus","to get up, (a)rise",14
Verb,"traho, trahere, traxi, tractus","to drag, pull; derive",14
Verb,"videor, videri, visus sum (often with dative of a person)","to seem; be seen ""it seems best to ___""?",14
Verb,"vivo, vivere, vixi","to live, be alive",14
Verb,"volvo, volvere, volvi, volutus","to roll, turn/twist around",14
Adjective,"tantus, tanta, tantum","so much, so great",14
Adjective,tantum,only,14
Adjective,"uterque, utraque, utrumque","both, each (of two)",14
Adverb,vero (postpositive),"in fact, truly, indeed",14
Preposition,"a, ab (+ animate noun, in a passive sentence)",by,14
Preposition,contra (+ acc.),opposite; against,14
Preposition,contra (adv.),in reply; face to face,14
Noun,"*civis, civis m. or f.",citizen,15
Noun,"dolor, doloris m.","pain, sorrow",15
Noun,"equus, equi m.",horse,15
Noun,"humus, humi f.","ground, earth",15
Noun,"Gallia, Galliae f.",Gaul,15
Noun,"labor, laboris m.","work, labor, effort; hardship",15
Noun,"laus, laudis f.",praise,15
Noun,"pectus, pectoris n.","breast, chest; heart",15
Noun,"periculum, periculi n.",danger,15
Noun,"proelium, proelii n.",battle,15
Noun,"provincia, provinciae f.",province,15
Noun,"rus, ruris n.",the country(side),15
Verb,"condo, condere, condidi, conditus","to found, build, establish",15
Verb,"frango, frangere, fregi, fractus","break, shatter, wreck",15
Verb,"incendo, incendere, incendi, incensus","to set fire to, burn; inflame",15
Verb,"prohibeo, prohibere, prohibui, prohibitus","to prohibit, keep from; to keep someone (acc.) from something (abl.)",15
Verb,"vito, vitare, vitavi, vitatus",to avoid,15
Adjective,"aequus, aequa, aequum","even, calm, equal",15
Adjective,"ceteri, ceterae, cetera","the rest, the others",15
Adjective,"dignus, digna, dignum","worthy; worth, fitting",15
Adjective,"indignus, indigna, indignum",unworthy; undeserved; shameful,15
Adjective,"suus, sua, suum","his, her, its, their own",15
Preposition,circum / circa (+ acc.),around,15
Preposition,super (+ acc.),"over, above, on (top of)",15
Noun,"acies, aciei f.",battle line,16
Noun,"casus, casus m.","fall; misfortune, destruction; chance, accident",16
Noun,"cornu, cornus n.",horn; wing (of an army),16
Noun,"dies, diei m. or f.",day; fem. Used when it is an appointed or set day,16
Noun,"domus, domus f.","house(hold), home",16
Noun,"exercitus, exercitus m.",army,16
Noun,"facies, faciei f.",face; appearance,16
Noun,"fides, fidei f.","faith, trust; loyalty, trustworthiness",16
Noun,"fluctus, fluctus m.",wave; commotion,16
Noun,"genu, genus n.",knee,16
Noun,"impetus, impetus m.",attack; charge; impulse,16
Noun,"manus, manus f.",hand; band (of men),16
Noun,"metus, metus m.","fear, dread; anxiety",16
Noun,"passus, passus m.","pace, footstep",16
Noun,mille passus; milia passuum (pl.),"mile (lit. ""1,000 paces""); miles",16
Noun,"res, rei f.","thing, matter, business; court case",16
Noun,"res publica, rei publicae f.","state, republic",16
Noun,"senatus, senatus m.",senate,16
Noun,"spes, spei f.",hope,16
Noun,"vultus, vultus m.",expression; face,16
Verb,"ardeo, ardere, arsi, arsurus","to burn, be on fire, glow",16
Verb,"cado, cadere, cecidi, casurus",to fall,16
Adverb,igitur (postpositive),therefore,16
Adverb,inde,"from there; then, from that time forth",16
Adverb,tam,"so, to such a degree",16
Noun,"amor, amoris m.",love,17
Noun,"Caesar, Caesaris m.",Julius Caesar (a Roman general),17
Noun,"castra, castrorum n. (pl.)",camp,17
Noun,castra ponere,to pitch camp,17
Noun,"clamor, clamoris m.",shout; cheer,17
Noun,"crimen, criminis n.","crime; accusation, charge",17
Noun,"fatum, fati n.","fate, destiny",17
Noun,"ferrum, ferri n.",iron; sword,17
Noun,"gaudium, gaudii n.","joy, delight",17
Noun,"nuntius, nuntii m.",messenger; message,17
Noun,"princeps, principis m.","leader, chief; first citizen, emperor",17
Noun,"servus, servi m.","slave, servant",17
Noun,"signum, signi n.","sign, token, signal; (military) standard",17
Noun,"vinum, vini n.",wine,17
Noun,"vulnus, vulneris n.",wound,17
Verb,"interficio, interficere, interfeci, interfectus","to kill, destroy",17
Verb,"cano, canere, cecini, cantus",to sing,17
Verb,"pateo, patere, patui","to be open, stand open",17
Verb,"persuadeo, persuadere, persuasi, persuasus (+ dat.)",to persuade,17
Verb,"vulnero, vulnerare, vulneravi, vulneratus",to wound,17
Verb,"tempto, temptare, temptavi, temptatus","to try, attempt; test, prove",17
